model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
Up,2019,10355,Manual,9999,Petrol,145,54.3,1,vw
Auris,2017,9995,Manual,38300,Petrol,150,58.9,1.2,toyota
TT,2015,16406,Semi-Auto,12123,Petrol,160,44.8,2,audi
Fiesta,2019,11995,Manual,11882,Petrol,145,58.9,1,Ford
I10,2018,7985,Manual,7594,Petrol,145,60.1,1,Hyundai
Karoq,2018,19990,Automatic,18635,Petrol,150,50.4,1.5,skoda
Passat,2015,8298,Manual,79000,Diesel,20,70.6,1.6,vw
Octavia,2017,12490,Manual,43700,Diesel,150,68.9,1.6,skoda
Polo,2017,9998,Manual,23739,Petrol,145,58.9,1,vw
A3,2011,5290,Manual,87000,Diesel,30,64.2,2,audi
Aygo,2016,7200,Manual,11394,Petrol,0,69,1,toyota
Up,2020,9490,Manual,6000,Petrol,145,54.3,1,vw
5 Series,2016,20390,Semi-Auto,11454,Diesel,160,51.4,3,BMW
3 Series,2018,16498,Semi-Auto,33546,Diesel,145,67.3,2,BMW
Focus,2014,7222,Semi-Auto,48308,Petrol,160,44.8,1.6,Ford
A5,2017,19999,Automatic,35662,Diesel,145,70.6,2,audi
Focus,2018,14995,Manual,8201,Petrol,150,58.9,1,Ford
Yaris,2013,7495,Automatic,70000,Hybrid,0,76.3,1.5,toyota
A3,2015,19990,Automatic,31000,Petrol,200,40.4,2,audi
X3,2019,29480,Automatic,7164,Diesel,145,56.5,2,BMW
A6,2019,30470,Automatic,11922,Diesel,145,47.9,2,audi
Fiesta,2018,9617,Manual,37564,Petrol,145,56.5,1,Ford
Touareg,2019,41000,Automatic,3500,Diesel,145,34,3,vw
Focus,2015,7299,Manual,62299,Petrol,20,60.1,1,Ford
A3,2015,11300,Manual,75619,Diesel,20,68.9,2,audi
X1,2014,9530,Manual,47262,Diesel,165,51.4,2,BMW
Up,2020,12010,Manual,99,Petrol,145,51.4,1,vw
Aygo,2017,7000,Manual,12863,Petrol,0,69,1,toyota
Golf,2016,14990,Semi-Auto,19742,Petrol,30,53.3,1.4,vw
A1,2019,21470,Semi-Auto,4977,Petrol,150,40.9,2,audi
Fiesta,2016,7990,Manual,59138,Petrol,0,65.7,1,Ford
Focus,2017,10998,Manual,28001,Petrol,145,60.1,1,Ford
T-Roc,2020,25980,Manual,5,Petrol,145,42.2,1.5,vw
A1,2014,7475,Manual,70000,Diesel,0,74.3,1.6,audi
Q3,2019,27490,Automatic,5831,Diesel,145,47.1,2,audi
Fiesta,2015,7991,Manual,22592,Petrol,125,54.3,1.2,Ford
3 Series,2016,15600,Automatic,31940,Diesel,30,64.2,2,BMW
X5,2019,51980,Semi-Auto,4484,Diesel,150,33.6,3,BMW
Scala,2020,19995,Semi-Auto,1000,Petrol,145,45.6,1.5,skoda
Tucson,2017,13740,Manual,25972,Diesel,30,61.7,1.7,Hyundai
Passat,2016,15995,Manual,46780,Diesel,125,54.3,2,vw
I10,2019,9495,Manual,10,Petrol,145,49.6,1,Hyundai
